"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Fathy, Hamdi";"Égypte";"DM";"Al-Wakrah";"49";"3";"32940";"7585770";"29.09.1994";"30.06.2027";"13228708";"135411"
"Tougai, Mohamed";"Algérie";"D C";"Espérance Tunis";"23";"1";"7440";"434460";"22.01.2000";"30.06.2027";"13232010";"106858"
"Ben Romdhane, Mohamed Ali";"Tunisie";"DM";"Al-Ahly";"46";"3";"11390";"6809340";"06.09.1999";"30.06.2029";"13232260";"106756"
"Forestieri, Fernando";"Italie / Argentine";"AM RLC, F C";"AEL";"0";"0";"3430";"150170";"15.01.1990";"31.05.2026";"14000182";"449"
"Burrai, Javier";"Équateur / Argentine";"GK";"Sarmiento (Junín)";"1";"0";"4460";"347999990";"09.10.1990";"31.12.2026";"14019890";"3101516"
"Silva, Jonathan";"Argentine / Italie";"D/WB L";"Johor DT";"2";"0";"3150";"382670";"29.06.1994";"30.06.2026";"14026625";"23195015"
"Cabral, Luciano";"Chili / Argentine";"AM RC";"Independiente";"3";"0";"9880";"347999990";"26.04.1994";"31.12.2027";"14036722";"89"
"Gómez Andrade, Yeimar";"Colombie / États-Unis";"D C";"Seattle";"1";"0";"14570";"347999990";"30.06.1992";"31.12.2026";"14068839";"72014006"
"Bareiro, Mariano";"Argentine / Israël";"D C, DM";"-";"0";"0";"0";"0";"08.03.1995";"-";"14083717";"-1"
"Giménez, Nicolás";"E.A.U. / Argentine";"DM, AM C";"Al-Wasl";"0";"0";"34610";"21856130";"16.01.1996";"30.06.2028";"14122131";"135439"
"Zapelli, Bruno";"Italie / Argentine";"AM C";"ATP";"0";"0";"9970";"5917860";"17.05.2002";"30.06.2028";"14221545";"107206"
"Valentini, Nicolás";"Argentine / Italie";"D C";"Hellas Verona";"0";"0";"35660";"2233020";"08.04.2001";"30.06.2029";"14241918";"2201"
"Palacios, Tiago";"Uruguay / Argentine";"AM RLC";"Estudiantes (LP)";"0";"0";"6870";"8601280";"08.03.2001";"31.12.2027";"14254377";"85"
"Lainer, Stefan";"Autriche";"D/WB R";"FC RB Salzburg";"39";"2";"26670";"347999990";"27.08.1992";"30.06.2027";"16014123";"158"
"Gregoritsch, Michael";"Autriche / Slovénie";"AM/F C";"FC Augsburg";"66";"21";"16790";"3672160";"18.04.1994";"30.06.2028";"16045723";"2238"
"Schöpf, Alessandro";"Autriche";"WB R, AM RC";"Wolfsberger AC";"32";"6";"9610";"2894290";"07.02.1994";"30.06.2026";"16047316";"16034828"
"Ali, Almoez";"Qatar / Soudan";"AM RL, ST";"Al-Duhail";"123";"60";"40890";"17196770";"19.08.1996";"30.06.2028";"16183022";"23404990"
"Benteke, Christian";"Belgique / R.D. Congo";"ST";"Al-Wahda";"45";"18";"48060";"347999990";"03.12.1990";"30.06.2027";"18009139";"135430"
"Batshuayi, Michy";"Belgique / R.D. Congo";"ST";"Eintracht Frankfurt";"55";"27";"57680";"1592100";"02.10.1993";"30.06.2027";"18053710";"912"
"Dessers, Cyriel";"Nigeria / Belgique";"ST";"Panathinaikos";"8";"3";"47420";"9065570";"08.12.1994";"30.06.2028";"18083867";"983"
"Bodart, Arnaud";"Belgique";"GK";"LOSC";"0";"0";"12040";"1860850";"11.03.1998";"30.06.2027";"18089257";"858"
"Deman, Olivier";"Belgique";"D/WB/AM L";"SV Werder Bremen";"3";"0";"16340";"1860850";"06.04.2000";"30.06.2027";"18096737";"948"
"Koita, Aboubakary";"Mauritanie / Belgique / Sénégal";"AM RLC";"AEK";"19";"3";"21340";"10150110";"20.09.1998";"30.06.2029";"18101721";"967"
"Balikwisha, Michel-Ange";"R.D. Congo / Belgique";"AM LC, F C";"Celtic";"0";"0";"18560";"6003000";"10.05.2001";"30.06.2029";"18114977";"1569"
"Ganso";"Brésil";"AM C";"FLU";"8";"0";"14520";"552040";"12.10.1989";"31.12.2026";"19028171";"323"
"Douglas Costa";"Brésil";"AM RLC";"Chievo";"31";"3";"15200";"211120";"14.09.1990";"30.06.2026";"19044710";"1122"
"Willian José";"Brésil / Espagne";"AM/F C";"BAH";"0";"0";"8940";"1412920";"23.11.1991";"31.12.2026";"19081798";"315"
"Davidson";"Brésil";"AM L";"QD West Coast";"0";"0";"19220";"347999990";"05.03.1991";"31.12.2026";"19126109";"34039025"
"Bernard";"Brésil / Espagne";"AM RLC";"ATM";"14";"1";"21780";"347999990";"08.09.1992";"31.12.2027";"19152048";"314"
"Rodinei";"Brésil";"D/WB/AM R";"Olympiacos";"0";"0";"23710";"1759940";"29.01.1992";"30.06.2027";"19161089";"981"
"Fabio Lima";"E.A.U. / Brésil";"AM RC, F C";"Al-Wasl";"40";"17";"24700";"347999990";"30.06.1993";"30.06.2030";"19165124";"135439"
"Strefezza, Gabriel";"Brésil / Italie";"AM RL";"Parma";"0";"0";"30830";"6090060";"18.04.1997";"30.06.2029";"19223093";"1156"
"Rogério";"Brésil";"D/WB/M L";"VfL Wolfsburg";"0";"0";"38450";"1860850";"13.01.1998";"30.06.2027";"19284576";"961"
"Clayton";"Brésil";"ST";"Olympiacos";"0";"0";"23710";"10150110";"11.01.1999";"30.06.2029";"19410458";"981"
"Álvarez, Efraín";"Mexique / États-Unis";"AM RC, F C";"Chivas";"6";"1";"10610";"12945520";"19.06.2002";"30.06.2029";"20046469";"1255"
"Despodov, Kiril";"Bulgarie";"AM RL, ST";"PAOK";"56";"15";"26080";"11165120";"11.11.1996";"30.06.2027";"22051266";"982"
"Al-Arab, Yazan";"Jordanie";"D C";"Seoul";"72";"3";"4590";"1001740";"31.01.1996";"31.12.2026";"23238345";"130777"
"Kanno, Mohamed";"Arabie saoudite";"DM";"Al Hilal";"66";"5";"32940";"25994620";"22.09.1994";"30.06.2027";"23248112";"102852"
"Beiranvand, Alireza";"Iran";"GK";"Tractor";"81";"0";"13210";"347999990";"21.09.1992";"30.06.2027";"23260427";"5512156"
"Ghayedi, Mehdi";"Iran";"AM RL, ST";"Al-Nasr";"27";"9";"23550";"8326140";"05.12.1998";"30.06.2028";"23463750";"135448"
"Majrashi, Ali";"Arabie saoudite";"D/WB R";"Al Ahli";"9";"0";"43910";"29315520";"01.10.1999";"30.06.2029";"23470690";"102850"
"Tolic, Marko";"Croatie";"AM C";"Zhejiang";"0";"0";"13460";"3585110";"05.07.1996";"31.12.2027";"24039531";"131229"
"Droždek, Domagoj";"Croatie";"AM RLC, F C";"Tractor";"0";"0";"13210";"1492920";"20.03.1996";"30.06.2026";"24039624";"5512156"
"Grbic, Ivo";"Croatie";"GK";"Fatih Karagümrük";"2";"0";"46400";"8221500";"18.01.1996";"30.06.2027";"24039943";"458631"
"Roguljic, Ante";"Croatie";"AM RC";"Diósgyõr";"0";"0";"9280";"3007440";"11.03.1996";"30.06.2027";"24040135";"130821"
"Benkovic, Filip";"Croatie";"D C";"Peng City";"1";"0";"17660";"3226600";"13.07.1997";"31.12.2027";"24043896";"2000328113"
"Katic, Nikola";"Bosnie / Croatie";"D C";"FC Schalke 04";"9";"0";"9610";"2930840";"10.10.1996";"30.06.2028";"24047814";"920"
"Labrovic, Nediljko";"Croatie";"GK";"FC Augsburg";"2";"0";"23070";"2537530";"10.10.1999";"30.06.2029";"24060250";"2238"
"Dion Beljo";"Croatie";"AM/F C";"Dinamo";"2";"0";"19220";"5017410";"01.03.2002";"30.06.2030";"24061498";"432"
"Koubek, Tomáš";"Rép. tchèque";"GK";"Slovan Liberec";"12";"0";"3890";"347999990";"26.08.1992";"30.06.2027";"25022748";"475"
"Pavlenka, Jirí";"Rép. tchèque";"GK";"PAOK";"21";"0";"14230";"347999990";"14.04.1992";"30.06.2027";"25039108";"982"
"Sadílek, Lukáš";"Rép. tchèque";"AM RC";"Górnik";"3";"0";"5800";"2424450";"23.05.1996";"30.06.2029";"25043971";"1452"
"Král, Alex";"Rép. tchèque / Slovaquie";"DM";"1. FC Union Berlin";"47";"2";"28840";"2005660";"19.05.1998";"30.06.2026";"25045644";"121182"
"Lingr, Ondrej";"Rép. tchèque";"AM RLC, F C";"Houston";"24";"1";"13940";"4014580";"07.10.1998";"31.12.2028";"25055110";"72000112"
"Falk, Rasmus";"Danemark";"DM, AM C";"OB";"2";"0";"13430";"347999990";"15.01.1992";"30.06.2028";"27010681";"545"
"Stryger Larsen, Jens";"Danemark";"D RLC";"Malmö FF";"54";"3";"4940";"347999990";"21.02.1991";"31.12.2026";"27013107";"1816"
"Poulsen, Yussuf";"Danemark / Tanzanie";"ST";"Hamburger SV";"86";"14";"38450";"2695570";"15.06.1994";"30.06.2027";"27051813";"947"
"Skov, Robert";"Danemark / Espagne";"D/WB RL, AM R";"1. FC Union Berlin";"14";"7";"28840";"3552540";"20.05.1996";"30.06.2027";"27094768";"121182"
"Kuruçay, Hasan";"Turquie / Danemark";"D C";"FC Schalke 04";"0";"0";"9610";"2664400";"31.08.1997";"30.06.2027";"27109811";"920"
"Baidoo, Michael";"Ghana";"DM, AM C";"Umm-Salal";"3";"0";"11600";"13885200";"14.05.1999";"30.06.2028";"27137047";"1032763"
"Christensen, Oliver";"Danemark";"GK";"Fiorentina";"1";"0";"12340";"1860850";"22.03.1999";"30.06.2028";"27137069";"1129"
"Grønbæk, Albert";"Danemark";"AM RLC";"Hamburger SV";"6";"1";"28840";"2481140";"23.05.2001";"30.06.2029";"27139574";"947"
"Provstgaard, Oliver";"Danemark";"D C";"Celesti";"0";"0";"17930";"347999990";"04.06.2003";"30.06.2029";"27157970";"1140"
"Clyne, Nathaniel";"Angleterre";"D RLC";"Crystal Palace";"14";"0";"34800";"739550";"05.04.1991";"30.06.2026";"28019851";"642"
"Miquel, Ignasi";"Espagne";"D LC";"Leganés";"0";"0";"20620";"2109830";"28.09.1992";"30.06.2026";"28027172";"1678"
"Karius, Loris";"Allemagne";"GK";"FC Schalke 04";"0";"0";"9610";"347999990";"22.06.1993";"30.06.2027";"28047501";"920"
"Laifis, Konstantinos";"Chypre";"D C";"APOEL";"66";"4";"7720";"347999990";"19.05.1993";"31.05.2027";"28051267";"451"
"De Cordova-Reid, Bobby";"Jamaïque / Angleterre";"AM RLC";"Leicester";"39";"6";"52200";"8507090";"02.02.1993";"30.06.2027";"28058544";"673"
"Lascelles, Jamaal";"Angleterre";"D C";"Leicester";"0";"0";"46400";"8506940";"11.11.1993";"30.06.2026";"28059634";"673"
"Rothwell, Joe";"Angleterre / Écosse";"DM";"Sheffield United";"0";"0";"23910";"10413900";"11.01.1995";"30.06.2027";"28066821";"708"
"Burgess, Cameron";"Australie / Écosse";"D C";"Swansea";"17";"0";"20880";"12058200";"21.10.1995";"30.06.2028";"28087596";"724"
"Winks, Harry";"Angleterre";"DM";"Leicester";"10";"1";"69600";"15428000";"02.02.1996";"30.06.2027";"28088513";"673"
"Kenny, Jonjoe";"Angleterre / Irlande";"D/WB R";"PAOK";"0";"0";"33200";"9135090";"15.03.1997";"30.06.2028";"28090682";"982"
"Rodák, Marek";"Slovaquie";"GK";"Al-Ettifaq";"25";"0";"68820";"13780800";"13.12.1996";"30.06.2027";"28090964";"135427"
"Dunne, Jimmy";"Irlande / Irlande du Nord";"D RC";"QPR";"1";"0";"23200";"12058200";"19.10.1997";"30.06.2027";"28100270";"701"
"Dasilva, Josh";"Angleterre / Angola";"M C";"Brentford";"0";"0";"34800";"2406770";"23.10.1998";"30.06.2026";"28106685";"617"
"Campbell, Tyrese";"Angleterre";"AM R, ST";"Sheffield United";"0";"0";"9280";"12180000";"28.12.1999";"30.06.2027";"28108499";"708"
"Smallbone, Will";"Irlande / Angleterre";"DM, AM C";"Millwall";"13";"0";"27840";"12033840";"21.02.2000";"30.06.2026";"28109942";"686"
"Thomas, Luke";"Angleterre";"D LC";"Leicester";"0";"0";"40600";"16874130";"10.06.2001";"30.06.2029";"28117365";"673"
"Hein, Karl";"Estonie";"GK";"SV Werder Bremen";"39";"0";"17400";"10150000";"13.04.2002";"30.06.2027";"28121290";"948"
"Binks, Luis";"Angleterre / Écosse";"D C";"Brøndby IF";"0";"0";"10070";"4350790";"02.09.2001";"30.06.2030";"28122833";"496"
"Cannon, Tom";"Irlande / Angleterre";"ST";"Sheffield United";"2";"0";"34800";"14163600";"28.12.2002";"30.06.2029";"28127120";"708"
"Bueno, Hugo";"Espagne";"D/WB/M L";"Wolves";"0";"0";"29000";"15064530";"18.09.2002";"30.06.2028";"28127371";"740"
"Rak-Sakyi, Jesurun";"Angleterre / Ghana";"AM RLC";"Stoke";"0";"0";"8700";"9500400";"05.10.2002";"30.06.2027";"28128115";"721"
"Darlow, Karl";"Pays de Galles / Angleterre";"GK";"Leeds";"7";"0";"34800";"2399310";"08.10.1990";"30.06.2026";"29021698";"671"
"Goldson, Connor";"Angleterre / Jamaïque";"D C";"Aris Limassol";"0";"0";"3500";"347999990";"18.12.1992";"31.05.2027";"29062045";"453"
"Windass, Josh";"Angleterre";"AM/F C";"Wrexham";"0";"0";"23200";"347999990";"09.01.1994";"30.06.2028";"29071654";"741"
"Burns, Wes";"Pays de Galles";"WB/AM R";"Ipswich";"10";"0";"23200";"10088640";"23.11.1994";"30.06.2026";"29083588";"667"
"O'Nien, Luke";"Angleterre / Singapour";"D C, DM";"Sunderland";"0";"0";"46400";"5328730";"21.11.1994";"30.06.2027";"29084738";"722"
"Hendry, Jack";"Écosse / Pays de Galles";"D C";"Al-Ettifaq";"35";"3";"33540";"11608950";"07.05.1995";"30.06.2026";"29091029";"135427"
"Chaplin, Conor";"Angleterre";"AM RLC";"Portsmouth";"0";"0";"23200";"11400480";"16.02.1997";"30.06.2026";"29116657";"699"
"Hamdallah, Abderrazak";"Maroc";"ST";"Al-Shabab";"21";"6";"32940";"1433200";"17.12.1990";"30.06.2026";"29117753";"1535"
"Clarke, Matt";"Angleterre";"D C";"Derby";"0";"0";"11600";"12058200";"22.09.1996";"30.06.2028";"29121685";"645"
"Osho, Gabriel";"Nigeria / Angleterre";"D RC";"Cardiff";"2";"0";"23200";"12058200";"14.08.1998";"30.06.2029";"29139721";"625"
"Molumby, Jayson";"Irlande";"DM";"West Brom";"29";"0";"13920";"12728100";"06.08.1999";"30.06.2028";"29156202";"734"
"Woolfenden, Luke";"Angleterre";"D C";"Coventry";"0";"0";"29000";"10962000";"21.10.1998";"30.06.2028";"29156431";"639"
"Smalling, Chris";"Angleterre / Jamaïque";"D C";"Fayha";"31";"1";"105740";"1172620";"22.11.1989";"30.06.2026";"30022142";"7920365"
"Wallem, Conrad";"Norvège";"D/WB RL, AM L";"St. Louis CITY";"0";"0";"8590";"3284660";"09.06.2000";"31.12.2028";"31041793";"2000153732"
"Brahimi, Yacine";"Algérie / France";"AM LC";"Al-Gharafa";"66";"13";"44220";"819710";"08.02.1990";"30.06.2026";"34002647";"1026831"
"Belhanda, Younes";"Maroc / France";"AM C";"Al-Sailiya";"57";"5";"30230";"662390";"25.02.1990";"30.06.2026";"34008669";"1000546"
"Cabella, Rémy";"France / Italie";"AM LC";"FC Nantes";"4";"0";"23710";"609010";"08.03.1990";"30.06.2027";"34008670";"846"
"Stambouli, Benjamin";"France / Algérie";"DM";"FC Metz";"0";"0";"10190";"367710";"13.08.1990";"30.06.2026";"34008684";"844"
"Ayew, Jordan";"Ghana / France";"AM RLC, F C";"Leicester";"109";"30";"52200";"6579170";"11.09.1991";"30.06.2026";"34010721";"673"
"Bakasetas, Tasos";"Grèce";"AM C";"Panathinaikos";"75";"17";"35570";"347999990";"28.06.1993";"30.06.2027";"36039032";"983"
"Pelkas, Dimitris";"Grèce";"AM RLC";"PAOK";"46";"5";"15410";"4077840";"26.10.1993";"30.06.2027";"36058048";"982"
"Giakoumakis, Giorgos";"Grèce";"ST";"PAOK";"22";"4";"10470";"5949930";"09.12.1994";"31.12.2028";"36077389";"982"
"Kyriakopoulos, Giorgos";"Grèce";"D/WB/M L";"Panathinaikos";"8";"0";"18970";"9135090";"05.02.1996";"30.06.2029";"36090959";"983"
"Masouras, Giorgos";"Grèce";"AM RL, ST";"Al-Khaleej";"51";"10";"17390";"4301420";"01.01.1994";"30.06.2027";"36095783";"7920260"
"Tudor, Fran";"Croatie";"D RC";"Raków";"3";"1";"5430";"2105440";"27.09.1995";"30.06.2027";"36096934";"722115"
"Rota, Lazaros";"Grèce / Albanie";"D/WB R";"AEK";"23";"0";"21340";"9135090";"23.08.1997";"30.06.2030";"36126363";"967"
"Cillessen, Jasper";"Pays-Bas";"GK";"N.E.C.";"65";"0";"5010";"738770";"22.04.1989";"30.06.2026";"37002936";"1025"
"Lam, Thomas";"Finlande / Pays-Bas";"D RLC, DM";"Apollon L.";"28";"0";"3530";"944230";"18.12.1993";"31.05.2026";"37020716";"452"
"van Overeem, Joris";"Pays-Bas / Israël";"DM, AM C";"sc Heerenveen";"0";"0";"5010";"347999990";"01.06.1994";"30.06.2027";"37020720";"1036"
"Bijl, Glenn";"Pays-Bas";"D/WB RL";"Antwerp";"0";"0";"16650";"5717890";"13.07.1995";"30.06.2026";"37046948";"262"
"Drommel, Joël";"Pays-Bas";"GK";"Sparta Rotterdam";"0";"0";"6270";"2842970";"16.11.1996";"30.06.2027";"37048494";"1039"
"van Drongelen, Rick";"Pays-Bas";"D LC";"Samsunspor";"0";"0";"15960";"6252460";"20.12.1998";"30.06.2028";"37058873";"1878"
"Murkin, Derry";"Angleterre / Pays-Bas";"D/WB/AM L";"Derby";"0";"0";"9280";"13398000";"27.07.1999";"30.06.2029";"37075182";"645"
"Suslov, Tomáš";"Slovaquie";"AM RLC";"Hellas Verona";"40";"4";"9830";"4936710";"07.06.2002";"30.06.2027";"37076659";"2201"
"Bogarde, Lamare";"Pays-Bas / Suriname";"D RC, DM";"Aston Villa";"0";"0";"8700";"19352670";"05.01.2004";"30.06.2028";"37085322";"603"
"Balogh, Botond";"Hongrie";"D C";"Kocaelispor";"8";"0";"14260";"7448420";"06.06.2002";"30.06.2027";"38059041";"1876"
"Ingason, Sverrir Ingi";"Islande";"D C";"Panathinaikos";"59";"3";"28450";"347999990";"05.08.1993";"30.06.2028";"39017860";"983"
"Óskarsson, Orri";"Islande";"ST";"Real San Sebastián";"16";"7";"20770";"37693240";"29.08.2004";"30.06.2030";"39062838";"1742"
"Peretz, Daniel";"Israël / Allemagne";"GK";"Southampton";"7";"0";"28840";"1550710";"10.07.2000";"30.06.2028";"42083355";"713"
"Insigne, Lorenzo";"Italie";"AM L, ST";"Pescara";"54";"10";"12840";"602130";"04.06.1991";"30.06.2026";"43043933";"1158"
"Thiam, Mame";"Sénégal";"ST";"Çorum FK";"4";"0";"28840";"347999990";"09.10.1992";"30.06.2027";"43055080";"70055738"
"Caprari, Gianluca";"Italie";"AM LC, F C";"Padova";"1";"0";"12840";"1803790";"30.07.1993";"30.06.2026";"43067331";"1154"
"Ekuban, Caleb";"Ghana / Italie";"AM RC, F C";"Genoa";"11";"3";"14840";"2377290";"23.03.1994";"30.06.2026";"43068478";"1132"
"Cisotti, Juri";"Italie";"AM RLC";"FCSB";"0";"0";"5790";"347999990";"05.05.1993";"30.06.2027";"43079181";"1513"
"Grassi, Alberto";"Italie";"DM";"Cremonese";"0";"0";"25060";"3471340";"07.03.1995";"30.06.2028";"43081383";"1125"
"Duncan, Alfred";"Ghana / Italie";"DM";"Venezia";"9";"0";"42790";"1998700";"10.03.1993";"30.06.2026";"43084308";"1179"
"Deiola, Alessandro";"Italie";"DM";"Cagliari";"0";"0";"14270";"3857040";"01.08.1995";"30.06.2029";"43093890";"1114"
"Scuffet, Simone";"Italie";"GK";"Pisa";"0";"0";"14270";"3552540";"31.05.1996";"30.06.2028";"43094163";"2215"
"Petkovic, Bruno";"Croatie";"AM/F C";"Kocaelispor";"42";"11";"36090";"4907440";"16.09.1994";"30.06.2027";"43130133";"1876"
"Meroni, Andrea";"Italie";"D C";"Mantova";"0";"0";"13910";"3349530";"09.01.1997";"30.06.2027";"43141843";"700198"
"Romagna, Filippo";"Italie";"D C";"Sassuolo";"0";"0";"14270";"2850150";"26.05.1997";"30.06.2026";"43152269";"3800256"
"Castrovilli, Gaetano";"Italie";"AM C";"Cesena FC";"4";"0";"13200";"2757790";"17.02.1997";"30.06.2026";"43206176";"1120"
"Gaetano, Gianluca";"Italie";"AM C";"Cagliari";"0";"0";"17930";"4060040";"05.05.2000";"30.06.2029";"43317758";"1114"
"Turati, Stefano";"Italie";"GK";"Sassuolo";"0";"0";"16390";"3453540";"05.09.2001";"30.06.2029";"43378804";"3800256"
"Bonini, Federico";"Italie";"D LC";"Almería";"0";"0";"20290";"4060040";"06.08.2001";"30.06.2031";"43390159";"1661"
"Zanoli, Alessandro";"Italie";"D RC";"Udinese";"0";"0";"14270";"1741760";"03.10.2000";"30.06.2026";"43390940";"1178"
"Monterisi, Ilario";"Italie";"D RC";"Frosinone";"0";"0";"6360";"3571330";"19.12.2001";"30.06.2027";"43393176";"2199"
"Barbieri, Tommaso";"Italie";"D/WB/M R";"Cremonese";"0";"0";"12530";"4811900";"26.08.2002";"30.06.2028";"43424594";"1125"
"Felici, Mattia";"Italie";"WB L, AM RLC, F C";"Cagliari";"0";"0";"8870";"2357080";"17.04.2001";"30.06.2027";"43458488";"1114"
"Shpendi, Cristian";"Albanie / Italie";"AM/F C";"Cesena FC";"0";"0";"13750";"5458500";"19.05.2003";"30.06.2028";"43616541";"1120"
"Schmidt, Daniel";"Japon / États-Unis";"GK";"Nagoya";"14";"0";"8360";"347999990";"03.02.1992";"30.06.2027";"45034094";"1191"
"Maruyama, Yuichi";"Japon";"D C";"Kawasaki-F";"0";"0";"4680";"102170";"16.06.1989";"31.01.2026";"45058248";"107296"
"Taniguchi, Shogo";"Japon";"D C";"STVV";"32";"1";"5510";"1122130";"15.07.1991";"30.06.2026";"45083761";"278"
"Ito, Junya";"Japon";"AM R";"KRC Genk";"62";"14";"17440";"347999990";"09.03.1993";"30.06.2028";"45092815";"258"
"Tono, Daiya";"Japon";"AM RLC, F C";"Yokohama F?M";"0";"0";"3790";"1498530";"14.03.1999";"31.01.2026";"45107679";"1198"
"Hatate, Reo";"Japon";"AM C";"Celtic";"11";"0";"20300";"8237450";"21.11.1997";"31.05.2028";"45111893";"1569"
"Miki, Tomoya";"Japon";"AM RLC";"Fukuoka";"0";"0";"3340";"1294190";"28.03.1998";"31.01.2026";"45116919";"1183"
"Mets, Karol";"Estonie";"D C, DM";"FC St. Pauli";"100";"0";"15380";"1607930";"16.05.1993";"30.06.2026";"47023240";"946"
"Otele, Philip";"Nigeria";"AM RL";"Hamburger SV";"0";"0";"10120";"4953150";"15.04.1999";"30.06.2028";"47101258";"947"
"Bernede, Antoine";"France / Cameroun";"M C";"Hellas Verona";"0";"0";"26800";"4499880";"26.05.1999";"30.06.2028";"48031590";"2201"
"Perrin, Gaëtan";"France";"AM RL";"LOSC";"0";"0";"12040";"4060040";"07.06.1996";"30.06.2028";"48036655";"858"
"Lafont, Alban";"Côte d'Ivoire / France / Burkina Faso";"GK";"Panathinaikos";"0";"0";"28920";"3045030";"23.01.1999";"30.06.2027";"48036990";"983"
"Sissoko, Ibrahima";"Mali / France";"DM";"FC Nantes";"1";"0";"23070";"4285600";"27.10.1997";"30.06.2028";"48037152";"846"
"Disasi, Axel";"France";"D RC";"West Ham";"5";"0";"87000";"13154400";"11.03.1998";"30.06.2029";"48037291";"735"
"Maolida, Myziane";"Comores / France / Madagascar";"AM RL, ST";"Al-Kholood";"13";"4";"28840";"13680570";"14.02.1999";"30.06.2026";"48039186";"1031631"
"Cuisance, Michaël";"France";"DM, AM RC";"Hertha BSC";"0";"0";"19220";"3256490";"16.08.1999";"30.06.2029";"48042512";"2247"
"Pétrot, Léo";"France";"D LC";"Elche";"0";"0";"17060";"3800200";"15.04.1997";"30.06.2026";"48043564";"1707"
"Magri, Frank";"Cameroun / France";"AM R, ST";"Toulouse FC";"14";"2";"9640";"3694640";"04.09.1999";"30.06.2026";"48043837";"886"
"Essende, Samuel";"R.D. Congo / France";"ST";"Young Boys";"8";"1";"21310";"4953150";"23.01.1998";"30.06.2029";"48044555";"1847"
"Ngoumou, Nathan";"Cameroun / France";"AM RL";"Borussia M'gladbach";"2";"0";"28840";"2067610";"14.03.2000";"30.06.2027";"49037694";"908"
"Bayo, Mohamed";"Guinée / France";"AM RL, ST";"Gazisehir FK";"30";"8";"24220";"1860850";"04.06.1998";"30.06.2027";"49038311";"130341"
"Coudert, Grégoire";"France";"GK";"Brest";"0";"0";"6170";"3045030";"03.04.1999";"30.06.2027";"49040526";"2061"
"Raux-Yao, Serge-Philippe";"France / Côte d'Ivoire";"D C";"SK Rapid";"0";"0";"10000";"4838210";"30.05.1999";"30.06.2028";"49045916";"155"
"Nkounkou, Niels";"France / Congo";"D/WB/M L";"Torino";"0";"0";"29800";"3045030";"01.11.2000";"30.06.2028";"49046391";"1174"
"Lucas Ribeiro";"Brésil";"AM RLC";"Leonesa";"0";"0";"17060";"3870570";"09.10.1998";"30.06.2026";"49052434";"2093"
"Silas";"R.D. Congo";"AM RL, ST";"1. FSV Mainz 05";"17";"1";"23070";"2639030";"06.10.1998";"30.06.2026";"49054676";"918"
"Gourna-Douath, Lucas";"France / Centrafrique";"DM";"Havre AC";"0";"0";"6020";"9784200";"05.08.2003";"30.06.2027";"49056367";"856"
"Moreno, Héctor";"Mexique / Espagne";"D C";"-";"132";"5";"0";"0";"17.01.1988";"-";"51000042";"-1"
"Pulido, Alan";"Mexique / États-Unis";"AM/F C";"Chivas";"20";"5";"10610";"411310";"08.03.1991";"30.06.2027";"51012676";"1255"
"Aguirre, Erick";"Mexique";"D RL";"Monterrey";"14";"0";"10170";"2034560";"23.02.1997";"30.06.2026";"51043734";"1257"
"Sánchez, Andrés";"Mexique";"GK";"At. San Luis";"0";"0";"8920";"2656710";"03.10.1997";"31.12.2026";"51054894";"5661074"
"Cortizo, Jordi";"Mexique";"AM RL";"León";"5";"0";"9730";"4186330";"30.06.1996";"30.06.2029";"51055304";"1259"
"Soko, Patrick";"Cameroun";"AM RL";"Almería";"4";"1";"20290";"4511160";"31.10.1997";"30.06.2028";"51067233";"1661"
"Rodríguez, Iván";"Mexique";"DM, AM LC";"León";"2";"0";"9730";"3102070";"17.06.1996";"30.06.2026";"51072523";"1259"
"Tapia, Fernando";"Mexique";"GK";"Club América";"0";"0";"10760";"2173670";"17.06.2001";"30.06.2030";"51078548";"1253"
"Svensson, Jonas";"Norvège";"D/WB R";"Rosenborg";"23";"1";"5880";"347999990";"06.03.1993";"31.12.2027";"53049626";"1376"
"Tripic, Zlatko";"Norvège / Bosnie";"AM RL";"Viking";"0";"0";"5430";"347999990";"02.12.1992";"31.12.2026";"53068962";"1422"
"Normann, Mathias";"Norvège";"DM";"Al-Gharafa";"12";"1";"30230";"8067620";"28.05.1996";"30.06.2027";"53093975";"1026831"
"Brynhildsen, Ola";"Norvège";"AM RL, ST";"FC Midtjylland";"4";"0";"8730";"6240830";"27.04.1999";"30.06.2027";"53125145";"526"
"Mannsverk, Sivert";"Norvège";"DM";"Sparta Prague";"0";"0";"40100";"7717010";"08.05.2002";"30.06.2028";"53159880";"476"
"Vítor, Miguel";"Israël / Portugal";"D C";"H. Be'er-Sheva";"12";"0";"5280";"148870";"30.06.1989";"31.05.2026";"55004194";"1085"
"Mário Rui";"Portugal";"D/WB/M L";"Forte Virtus";"12";"0";"25180";"678580";"27.05.1991";"30.06.2026";"55027761";"2000493101"
"Varela, Bruno";"Cap-Vert / Portugal";"GK";"Al HazmAl-Hazm";"7";"0";"75690";"347999990";"04.11.1994";"30.06.2027";"55027991";"7920356"
"Gomes, André";"Portugal";"M C";"Columbus";"29";"0";"17170";"347999990";"30.07.1993";"30.06.2027";"55027994";"1904"
